User_ID,Age,Gender,Subscription_Type,Signup_Date,City
158,46,Female,Yearly,2020-05-31,San Francisco
159,53,Female,Yearly,2020-09-16,Chicago
160,30,Other,Monthly,2021-12-28,San Francisco
161,49,Female,Monthly,2020-10-05,Boston
162,24,Female,Yearly,2020-10-11,New York
163,39,Other,Casual,2021-09-01,San Francisco
164,45,Other,Casual,2021-06-25,San Francisco
165,19,Other,Casual,2021-08-24,Chicago
166,59,Female,Casual,2020-05-27,Chicago
167,62,Female,Casual,2021-10-17,New York
168,23,Other,Yearly,2020-03-07,San Francisco
169,45,Other,Monthly,2021-07-23,Seattle
170,45,Other,Monthly,2020-10-05,Chicago
171,61,Female,Yearly,2021-03-18,Chicago
172,61,Female,Casual,2021-02-02,Boston
173,37,Male,Casual,2020-05-07,New York
174,47,Female,Monthly,2020-12-02,San Francisco
175,28,Female,Monthly,2021-04-26,San Francisco
176,45,Female,Casual,2021-12-21,San Francisco
177,42,Other,Monthly,2020-07-04,Chicago
178,56,Female,Monthly,2020-06-17,New York
179,50,Other,Monthly,2021-11-14,San Francisco
180,18,Male,Monthly,2020-09-16,Seattle
181,44,Male,Casual,2021-12-17,Boston
182,30,Other,Casual,2021-10-08,Boston
183,58,Other,Monthly,2021-07-11,San Francisco
184,20,Other,Casual,2021-05-21,Chicago
185,56,Female,Yearly,2021-06-04,Boston
186,23,Male,Monthly,2021-04-15,Boston
187,25,Other,Casual,2020-06-09,Boston
188,44,Female,Monthly,2020-10-15,Boston
189,26,Male,Monthly,2020-12-05,San Francisco
190,54,Female,Casual,2021-05-16,New York
191,50,Male,Yearly,2020-04-15,New York
192,59,Female,Yearly,2021-04-19,Chicago
193,61,Male,Monthly,2021-08-22,Seattle
194,41,Male,Casual,2021-04-07,New York
195,32,Female,Monthly,2021-04-27,Seattle
196,49,Other,Monthly,2021-12-04,New York
197,49,Male,Casual,2020-06-01,New York
198,41,Other,Casual,2021-10-10,Chicago
199,58,Female,Yearly,2020-05-28,Boston
200,29,Other,Casual,2020-07-06,Chicago
201,56,Other,Monthly,2021-10-14,New York
202,19,Other,Monthly,2020-05-10,Boston
203,20,Other,Monthly,2021-03-27,Boston
204,54,Other,Casual,2021-05-30,Boston
205,34,Male,Yearly,2021-05-05,Seattle
206,19,Male,Casual,2021-04-20,New York
207,19,Male,Monthly,2020-09-19,San Francisco
208,45,Female,Monthly,2021-06-21,Chicago
209,40,Other,Monthly,2021-04-03,Seattle
210,54,Male,Yearly,2021-06-19,Chicago
211,49,Female,Monthly,2021-09-28,San Francisco
212,50,Male,Casual,2021-11-14,Boston
213,18,Male,Yearly,2020-10-21,San Francisco
214,36,Other,Monthly,2021-03-10,Chicago
215,19,Female,Casual,2020-10-01,San Francisco
216,61,Other,Casual,2021-08-10,New York
217,43,Other,Yearly,2020-11-03,San Francisco
218,49,Male,Casual,2021-12-26,New York
219,23,Other,Monthly,2021-01-10,San Francisco
220,49,Female,Monthly,2020-06-06,New York
221,21,Other,Casual,2020-07-22,New York
222,28,Other,Monthly,2021-10-22,San Francisco
223,34,Other,Casual,2020-03-15,Seattle
224,55,Male,Monthly,2021-01-14,Boston
225,41,Female,Monthly,2020-10-30,Boston
226,22,Male,Monthly,2020-03-02,Boston
227,51,Male,Monthly,2021-07-23,New York
228,23,Male,Yearly,2020-04-17,Boston
229,39,Male,Monthly,2020-07-05,New York
230,28,Male,Casual,2020-08-16,Seattle
231,33,Female,Casual,2020-02-17,San Francisco
232,50,Other,Monthly,2020-09-24,San Francisco
233,26,Male,Yearly,2021-12-27,New York
234,23,Male,Yearly,2020-09-10,New York
235,33,Female,Yearly,2020-03-27,Seattle
236,46,Female,Casual,2020-06-29,Boston
237,20,Other,Monthly,2020-01-25,Seattle
238,37,Female,Monthly,2021-01-22,San Francisco
239,53,Other,Casual,2020-08-09,San Francisco
240,36,Male,Casual,2021-01-31,Boston
241,43,Male,Yearly,2021-05-25,San Francisco
242,20,Other,Casual,2021-07-14,New York
243,36,Female,Casual,2021-03-15,San Francisco
244,37,Other,Casual,2020-06-23,Chicago
245,49,Female,Yearly,2020-11-06,Boston
246,24,Male,Monthly,2020-09-30,Boston
247,58,Female,Monthly,2020-02-04,Boston
248,50,Other,Yearly,2020-08-04,Chicago
249,57,Other,Casual,2021-12-21,Seattle
250,56,Male,Monthly,2021-11-02,New York
251,35,Female,Casual,2021-02-11,Boston
252,57,Female,Casual,2021-06-02,San Francisco
253,18,Female,Yearly,2020-09-25,New York
254,28,Male,Monthly,2021-09-29,San Francisco
255,45,Female,Casual,2021-04-19,New York
256,42,Other,Casual,2020-11-20,New York
257,40,Female,Monthly,2020-12-21,San Francisco
258,48,Male,Casual,2020-03-30,San Francisco
259,47,Female,Casual,2020-02-11,New York
260,59,Female,Casual,2020-12-30,Boston
261,52,Other,Casual,2021-11-01,San Francisco
262,24,Female,Yearly,2020-07-20,Chicago
263,33,Other,Casual,2020-12-31,Chicago
264,43,Other,Casual,2020-10-14,New York
265,19,Male,Monthly,2021-08-25,Seattle
266,18,Other,Yearly,2021-04-25,New York
267,29,Other,Casual,2021-09-28,New York
268,22,Male,Casual,2021-05-15,Boston
269,54,Other,Casual,2021-09-29,Boston
270,49,Male,Monthly,2020-02-21,Seattle
271,26,Female,Monthly,2020-04-12,Seattle
272,58,Male,Yearly,2020-12-26,Seattle
273,52,Other,Yearly,2021-02-27,Seattle
274,36,Male,Monthly,2021-11-29,Seattle
275,33,Other,Monthly,2020-07-23,New York
276,20,Female,Monthly,2020-01-14,New York
277,37,Male,Casual,2021-09-07,Chicago
278,41,Female,Yearly,2021-09-20,Chicago
279,50,Other,Casual,2021-04-14,San Francisco
280,41,Other,Casual,2021-04-10,New York
281,28,Female,Monthly,2020-10-30,Seattle
282,25,Male,Casual,2021-08-27,San Francisco
283,53,Male,Monthly,2021-03-02,Boston
284,55,Other,Monthly,2021-10-17,New York
285,57,Female,Monthly,2020-04-19,Chicago
286,37,Female,Yearly,2021-11-05,New York
287,52,Male,Casual,2021-07-18,New York
288,42,Male,Monthly,2021-05-29,New York
289,52,Male,Monthly,2020-03-08,New York
290,42,Female,Monthly,2020-09-02,Boston
291,46,Male,Monthly,2021-01-23,Chicago
292,35,Male,Casual,2021-10-11,New York
293,63,Other,Monthly,2020-11-03,Boston
294,35,Male,Casual,2020-12-17,San Francisco
295,19,Male,Yearly,2020-03-06,New York
296,52,Female,Casual,2021-04-04,Boston
297,33,Female,Monthly,2020-12-12,Seattle
298,58,Other,Casual,2020-11-20,San Francisco
299,53,Male,Casual,2021-10-28,Chicago
300,50,Other,Monthly,2021-08-21,New York
301,21,Female,Yearly,2020-02-02,New York
302,50,Other,Monthly,2020-03-08,Boston
303,31,Female,Yearly,2020-07-05,Chicago
304,38,Other,Monthly,2020-07-10,Seattle
305,37,Other,Monthly,2020-07-31,San Francisco
306,25,Male,Casual,2021-08-22,Chicago
307,24,Other,Yearly,2021-03-03,New York
308,20,Male,Casual,2020-12-16,Boston
309,34,Male,Yearly,2020-04-17,Seattle
310,50,Male,Yearly,2020-08-27,Boston
311,29,Male,Yearly,2020-08-03,San Francisco
312,39,Other,Monthly,2020-06-25,Chicago
313,39,Female,Monthly,2021-07-18,Boston
314,63,Female,Monthly,2020-11-25,Boston
315,47,Female,Casual,2021-07-14,New York
316,55,Other,Monthly,2021-09-17,Boston
317,55,Male,Casual,2021-03-25,Seattle
318,62,Female,Monthly,2021-08-29,Chicago
319,25,Other,Casual,2021-03-22,San Francisco
320,44,Male,Casual,2021-06-20,Boston
321,44,Female,Casual,2021-10-05,Seattle
322,51,Male,Monthly,2020-06-27,San Francisco
323,38,Female,Monthly,2021-01-29,Seattle
324,47,Female,Casual,2020-05-24,Boston
325,50,Female,Monthly,2020-07-16,Boston
326,45,Male,Casual,2020-03-24,Chicago
327,64,Other,Monthly,2021-10-30,New York
328,50,Male,Monthly,2020-03-25,Seattle
329,22,Female,Monthly,2021-04-01,New York
330,36,Male,Monthly,2021-04-20,New York
331,21,Other,Casual,2020-09-09,San Francisco
332,52,Male,Monthly,2020-03-12,San Francisco
333,34,Other,Monthly,2020-08-10,Seattle
334,61,Other,Monthly,2020-10-02,New York
335,45,Male,Monthly,2020-09-02,Chicago
336,47,Female,Casual,2020-12-06,New York
337,46,Other,Monthly,2021-07-26,San Francisco
338,63,Male,Monthly,2021-04-15,New York
339,23,Other,Casual,2021-03-29,Boston
340,52,Female,Casual,2020-01-07,Boston
341,58,Male,Casual,2020-07-06,Chicago
342,54,Male,Yearly,2020-01-04,Seattle
343,41,Male,Monthly,2021-10-06,New York
344,46,Female,Casual,2020-05-04,Boston
345,63,Other,Casual,2020-01-15,Seattle
346,48,Male,Monthly,2021-06-08,Boston
347,52,Other,Yearly,2021-09-21,Seattle
348,50,Other,Casual,2020-08-27,Seattle
349,38,Female,Casual,2020-12-25,Boston
350,49,Male,Yearly,2021-06-01,San Francisco
351,40,Other,Casual,2020-11-15,Seattle
352,50,Male,Casual,2020-08-18,New York
353,20,Male,Yearly,2020-01-30,Boston
354,35,Female,Monthly,2021-06-17,San Francisco
355,42,Male,Casual,2020-06-04,Boston
356,59,Male,Casual,2021-09-21,Chicago
357,48,Other,Casual,2021-12-05,New York
358,20,Female,Casual,2021-02-02,Chicago
359,57,Male,Yearly,2020-12-11,Seattle
360,63,Other,Monthly,2020-07-13,Seattle
361,41,Female,Monthly,2020-06-16,Chicago
362,49,Female,Yearly,2021-01-11,Chicago
363,64,Other,Monthly,2021-05-03,Seattle
364,39,Other,Casual,2020-12-27,San Francisco
365,40,Other,Monthly,2021-04-26,New York
366,19,Other,Yearly,2020-08-31,Boston
367,44,Other,Yearly,2021-08-03,Chicago
368,59,Male,Casual,2021-08-29,New York
369,19,Male,Monthly,2021-08-11,Boston
370,43,Female,Monthly,2020-06-19,Boston
371,34,Male,Yearly,2021-05-27,Chicago
372,57,Male,Casual,2021-02-09,San Francisco
373,50,Male,Monthly,2021-07-27,San Francisco
374,26,Other,Yearly,2020-07-25,New York
375,60,Female,Monthly,2020-06-02,New York
376,56,Female,Monthly,2020-02-17,Seattle
377,46,Female,Casual,2021-10-10,San Francisco
378,59,Female,Casual,2020-01-01,New York
379,43,Male,Casual,2021-02-10,Seattle
380,52,Male,Yearly,2020-04-16,Boston
381,42,Other,Casual,2020-06-21,New York
382,41,Female,Monthly,2021-05-20,Seattle
383,30,Male,Monthly,2020-05-09,San Francisco
384,24,Male,Casual,2021-02-01,Boston
385,53,Other,Monthly,2020-10-20,New York
386,62,Other,Monthly,2021-07-05,San Francisco
387,37,Other,Yearly,2021-03-22,Boston
388,18,Male,Monthly,2020-01-16,Chicago
389,25,Male,Monthly,2021-09-30,San Francisco
390,63,Other,Casual,2020-12-14,Chicago
391,33,Female,Yearly,2020-07-21,New York
392,31,Other,Casual,2020-05-13,Seattle
393,29,Other,Monthly,2021-06-09,New York
394,40,Other,Casual,2021-05-22,San Francisco
395,32,Other,Yearly,2020-03-06,Chicago
396,45,Male,Monthly,2021-04-24,Chicago
397,51,Female,Monthly,2021-04-03,Boston
398,19,Other,Casual,2020-12-07,New York
399,49,Female,Monthly,2021-12-07,New York
400,40,Female,Monthly,2021-09-17,San Francisco
401,39,Female,Monthly,2020-06-07,Chicago
402,42,Other,Casual,2020-06-09,San Francisco
403,39,Male,Yearly,2020-09-10,San Francisco
404,39,Other,Yearly,2021-06-10,Chicago
405,59,Female,Casual,2021-07-02,San Francisco
406,23,Female,Yearly,2020-06-03,Chicago
407,32,Male,Monthly,2021-04-30,San Francisco
408,60,Other,Monthly,2021-03-07,Seattle
409,54,Female,Casual,2020-01-27,San Francisco
410,50,Male,Monthly,2020-01-12,San Francisco
411,25,Female,Monthly,2020-03-07,Seattle
412,61,Male,Monthly,2021-06-25,New York
413,61,Male,Monthly,2020-04-05,Chicago
414,22,Other,Monthly,2020-08-02,Boston
415,56,Female,Monthly,2020-07-12,Seattle
416,21,Other,Casual,2021-10-08,New York
417,23,Female,Yearly,2020-10-16,San Francisco
418,62,Other,Monthly,2021-06-27,New York
419,49,Female,Casual,2020-02-08,Seattle
420,47,Other,Casual,2020-07-24,San Francisco
421,64,Male,Monthly,2021-07-08,New York
422,52,Female,Yearly,2021-04-28,Boston
423,57,Female,Casual,2020-12-02,Chicago
424,33,Male,Monthly,2021-05-10,Chicago
425,30,Other,Casual,2020-09-05,Seattle
426,59,Female,Monthly,2020-03-14,San Francisco
427,47,Female,Yearly,2021-01-07,San Francisco
428,36,Other,Monthly,2021-12-02,Chicago
429,34,Male,Casual,2020-05-17,New York
430,36,Other,Monthly,2021-04-01,San Francisco
431,45,Other,Casual,2021-03-19,Boston
432,43,Other,Monthly,2020-12-18,Boston
433,54,Female,Monthly,2021-02-14,San Francisco
434,43,Male,Monthly,2021-11-08,San Francisco
435,40,Male,Casual,2021-06-21,Chicago
436,26,Other,Yearly,2021-03-28,Seattle
437,29,Female,Monthly,2021-02-22,Chicago
438,18,Other,Casual,2021-03-25,Seattle
439,18,Female,Monthly,2021-08-07,Boston
440,64,Female,Monthly,2020-04-24,Seattle
441,51,Female,Monthly,2020-02-20,Chicago
442,49,Female,Monthly,2021-01-03,San Francisco
443,42,Male,Monthly,2021-11-13,Seattle
444,57,Female,Casual,2021-05-29,Chicago
445,62,Female,Yearly,2020-07-28,Boston
446,18,Other,Monthly,2021-09-18,Seattle
447,33,Other,Casual,2021-11-09,Boston
448,56,Male,Monthly,2021-03-10,Boston
449,22,Other,Yearly,2020-08-14,New York
450,39,Female,Yearly,2021-10-24,Seattle
451,46,Other,Casual,2020-09-24,Chicago
452,20,Male,Casual,2020-04-25,Seattle
453,29,Other,Monthly,2021-08-22,Seattle
454,43,Other,Casual,2020-12-25,Boston
455,33,Male,Yearly,2020-11-24,Boston
456,54,Male,Casual,2020-02-09,Boston
457,39,Female,Casual,2020-06-30,Boston
458,46,Other,Monthly,2021-05-04,Chicago
459,31,Female,Casual,2020-07-27,San Francisco
460,45,Other,Monthly,2020-09-29,New York
461,22,Other,Monthly,2020-04-28,Boston
462,64,Female,Casual,2021-01-16,Boston
463,47,Other,Casual,2021-06-19,New York
464,63,Other,Monthly,2020-09-14,Boston
465,22,Other,Casual,2021-04-27,San Francisco
466,29,Male,Monthly,2021-05-23,Seattle
467,33,Female,Monthly,2020-04-01,New York
468,43,Male,Monthly,2020-06-09,Chicago
469,43,Female,Yearly,2020-05-28,New York
470,38,Female,Yearly,2020-04-26,San Francisco
471,56,Other,Yearly,2021-04-02,Chicago
472,53,Female,Casual,2021-07-18,Seattle
473,50,Male,Casual,2020-02-14,Boston
474,47,Male,Casual,2020-08-21,New York
475,54,Male,Yearly,2021-01-09,Chicago
476,40,Female,Yearly,2021-06-30,New York
477,27,Male,Yearly,2020-07-15,Seattle
478,22,Female,Casual,2020-01-25,New York
479,53,Male,Yearly,2021-01-29,Chicago
480,51,Male,Monthly,2021-12-14,San Francisco
481,48,Female,Casual,2020-02-05,Chicago
482,27,Male,Monthly,2021-04-18,New York
483,36,Other,Casual,2020-08-10,Seattle
484,49,Female,Monthly,2021-06-13,Boston
485,18,Female,Casual,2020-07-06,Boston
486,22,Female,Monthly,2021-02-05,Seattle
487,62,Other,Monthly,2020-09-13,New York
488,21,Female,Yearly,2021-10-15,Seattle
489,33,Male,Monthly,2020-05-15,New York
490,41,Male,Monthly,2021-08-13,Chicago
491,33,Male,Yearly,2021-03-19,San Francisco
492,19,Female,Yearly,2021-02-21,New York
493,45,Male,Casual,2020-10-18,Boston
494,49,Female,Monthly,2021-07-27,Boston
495,44,Male,Casual,2020-05-08,San Francisco
496,37,Other,Casual,2020-12-06,New York
497,41,Other,Monthly,2020-09-13,San Francisco
498,29,Other,Yearly,2021-12-24,Chicago
499,52,Other,Casual,2021-07-19,San Francisco
500,50,Female,Yearly,2021-11-17,Chicago
501,50,Male,Yearly,2020-04-09,Boston
502,60,Other,Yearly,2020-02-08,Chicago
503,54,Female,Casual,2020-09-19,New York
504,29,Other,Yearly,2020-05-29,New York
505,20,Other,Casual,2021-09-24,New York
506,18,Female,Monthly,2021-11-20,New York
507,50,Female,Casual,2020-11-25,Seattle
508,57,Male,Casual,2020-04-29,Chicago
509,27,Male,Monthly,2021-08-06,New York
510,60,Other,Monthly,2020-08-06,San Francisco
511,61,Other,Casual,2020-05-02,San Francisco
512,46,Male,Casual,2020-08-31,Seattle
513,30,Male,Monthly,2021-08-09,Chicago
514,29,Female,Casual,2021-06-01,Chicago
515,48,Male,Yearly,2020-01-21,Chicago
516,63,Male,Casual,2020-07-08,Seattle
517,19,Other,Casual,2020-08-12,Chicago
518,52,Male,Casual,2021-09-06,Chicago
519,40,Other,Monthly,2021-04-10,New York
520,34,Male,Casual,2020-04-08,Chicago
521,43,Female,Casual,2020-12-28,New York
522,25,Male,Yearly,2020-03-23,New York
523,46,Male,Monthly,2021-11-23,Chicago
524,43,Male,Casual,2021-10-25,San Francisco
525,27,Other,Monthly,2020-02-25,Boston
526,43,Female,Yearly,2021-12-02,San Francisco
527,51,Male,Casual,2020-01-22,Chicago
528,58,Other,Casual,2021-08-02,Chicago
529,24,Female,Monthly,2020-07-03,San Francisco
530,21,Other,Monthly,2021-06-05,Chicago
531,62,Other,Monthly,2021-07-31,New York
532,28,Female,Casual,2020-09-20,Seattle
533,46,Male,Casual,2020-08-12,Chicago
534,53,Other,Monthly,2021-09-26,Chicago
535,42,Other,Casual,2020-02-07,San Francisco
536,38,Male,Monthly,2020-05-02,New York
537,53,Male,Monthly,2020-06-04,San Francisco
538,27,Female,Casual,2020-10-27,San Francisco
539,54,Female,Yearly,2020-03-07,Chicago
540,26,Female,Yearly,2021-10-06,New York
541,41,Male,Monthly,2021-01-28,Chicago
542,52,Other,Casual,2021-10-13,Chicago
543,52,Other,Casual,2021-08-16,Chicago
544,53,Female,Monthly,2021-07-23,Chicago
545,35,Male,Casual,2021-10-22,Seattle
546,56,Other,Yearly,2021-02-08,Boston
547,49,Female,Casual,2021-03-24,New York
548,41,Other,Monthly,2020-05-10,Seattle
549,40,Other,Casual,2020-03-09,Boston
550,49,Male,Monthly,2020-12-10,Boston
551,54,Male,Casual,2020-11-15,Boston
552,29,Other,Monthly,2020-06-25,Seattle
553,30,Female,Casual,2021-08-06,New York
554,40,Male,Yearly,2021-06-12,San Francisco
555,42,Other,Casual,2020-06-08,Boston
556,52,Male,Yearly,2021-08-04,San Francisco
557,58,Male,Yearly,2021-09-16,San Francisco
558,47,Male,Casual,2021-06-16,Chicago
559,34,Other,Monthly,2020-05-14,San Francisco
560,37,Female,Casual,2020-04-20,Chicago
561,42,Female,Yearly,2020-10-09,New York
562,39,Female,Monthly,2021-06-03,New York
563,30,Male,Casual,2021-12-19,Chicago
564,36,Other,Casual,2020-07-12,New York
565,53,Male,Casual,2020-02-16,Boston
566,29,Female,Yearly,2020-12-07,New York
567,58,Female,Casual,2020-08-29,Chicago
568,36,Other,Monthly,2021-06-05,Boston
569,29,Male,Monthly,2021-01-04,San Francisco
570,26,Female,Yearly,2020-05-10,San Francisco
571,24,Other,Casual,2020-09-26,San Francisco
572,45,Male,Monthly,2020-03-01,Chicago
573,31,Male,Monthly,2020-06-12,San Francisco
574,48,Female,Monthly,2021-06-08,New York
575,36,Female,Casual,2020-09-28,San Francisco
576,64,Male,Casual,2021-12-20,Seattle
577,33,Male,Casual,2020-05-12,Seattle
578,22,Female,Monthly,2020-08-31,San Francisco
579,52,Male,Casual,2021-03-09,San Francisco
580,29,Female,Monthly,2020-02-07,Seattle
581,42,Male,Casual,2021-07-21,San Francisco
582,38,Female,Yearly,2020-11-14,Boston
583,53,Other,Yearly,2021-05-24,Seattle
584,40,Female,Monthly,2021-01-10,Chicago
585,33,Female,Casual,2021-07-13,Seattle
586,56,Other,Casual,2021-09-08,New York
587,62,Male,Casual,2021-04-18,Boston
588,59,Other,Casual,2020-02-28,Chicago
589,56,Female,Monthly,2021-08-11,San Francisco
590,31,Male,Monthly,2021-05-13,New York
591,48,Other,Yearly,2020-08-05,New York
592,22,Male,Casual,2021-07-20,Boston
593,52,Male,Monthly,2021-07-20,Chicago
594,40,Other,Monthly,2020-05-08,New York
595,46,Male,Monthly,2021-01-17,Chicago
596,60,Other,Casual,2021-01-22,Chicago
597,28,Female,Monthly,2020-03-25,New York
598,35,Male,Monthly,2021-05-24,Chicago
599,64,Female,Monthly,2021-12-26,Boston
600,29,Female,Yearly,2021-09-18,New York
601,26,Male,Casual,2021-03-12,Boston
602,27,Other,Casual,2020-10-19,Boston
603,61,Male,Monthly,2020-02-18,Chicago
