Bike_ID,Maintenance_Date,Issue_Reported,Downtime_Hours
223,2022-07-13,Flat Tire,19
621,2022-01-17,Brake Issue,35
577,2022-07-21,Battery Issue,27
923,2022-01-20,Battery Issue,19
552,2022-04-17,Chain Issue,25
810,2022-07-26,Flat Tire,37
305,2022-10-26,Brake Issue,12
327,2022-04-18,Flat Tire,43
211,2022-06-20,Flat Tire,33
545,2022-08-05,Flat Tire,13
89,2022-12-26,Brake Issue,22
370,2022-01-03,Chain Issue,24
628,2022-08-23,Battery Issue,36
684,2022-05-28,Chain Issue,25
858,2022-10-26,Chain Issue,14
413,2022-04-09,Battery Issue,21
771,2022-06-13,Chain Issue,30
193,2022-02-08,Flat Tire,1
895,2022-07-22,Chain Issue,36
308,2022-06-02,Flat Tire,32
679,2022-11-21,Battery Issue,14
944,2022-04-10,Battery Issue,14
366,2023-01-01,Chain Issue,30
950,2022-07-20,Flat Tire,41
237,2022-11-23,Chain Issue,37
164,2022-03-06,Battery Issue,46
986,2022-04-19,Battery Issue,7
876,2022-04-21,Brake Issue,4
170,2022-06-25,Chain Issue,23
313,2022-09-23,Battery Issue,24
782,2022-07-12,Brake Issue,8
264,2022-07-26,Battery Issue,9
271,2022-07-21,Flat Tire,30
459,2022-10-15,Brake Issue,15
29,2022-05-15,Brake Issue,3
231,2022-03-18,Chain Issue,2
508,2022-04-25,Flat Tire,24
925,2022-06-27,Battery Issue,43
775,2022-05-14,Flat Tire,10
269,2022-09-19,Chain Issue,42
373,2022-11-15,Brake Issue,13
343,2022-10-31,Flat Tire,27
758,2022-08-06,Flat Tire,23
532,2022-08-14,Brake Issue,15
769,2022-04-12,Chain Issue,33
139,2022-10-30,Brake Issue,38
526,2022-08-24,Battery Issue,26
504,2022-05-28,Battery Issue,27
233,2022-07-16,Chain Issue,6
994,2022-12-08,Battery Issue,38
57,2022-12-31,Battery Issue,26
639,2022-06-17,Flat Tire,33
686,2022-06-06,Brake Issue,28
581,2022-02-19,Battery Issue,9
637,2022-05-20,Chain Issue,42
117,2022-08-27,Battery Issue,22
468,2022-06-14,Brake Issue,26
201,2022-07-16,Brake Issue,13
753,2022-04-19,Flat Tire,16
760,2022-09-06,Flat Tire,38
903,2022-01-31,Flat Tire,6
876,2022-05-28,Chain Issue,47
721,2022-03-28,Brake Issue,19
105,2022-12-15,Chain Issue,20
662,2022-01-14,Chain Issue,47
257,2022-11-08,Flat Tire,38
816,2022-03-18,Battery Issue,16
747,2022-04-11,Chain Issue,22
890,2022-02-21,Chain Issue,5
992,2022-10-17,Flat Tire,1
944,2022-10-15,Brake Issue,13
401,2022-11-16,Flat Tire,19
543,2022-02-11,Brake Issue,44
656,2022-10-10,Flat Tire,10
934,2022-10-29,Battery Issue,6
852,2022-04-07,Flat Tire,32
519,2022-05-28,Flat Tire,35
599,2022-06-16,Flat Tire,3
336,2022-12-18,Battery Issue,12
657,2022-10-15,Flat Tire,8
615,2022-05-15,Brake Issue,3
504,2022-10-24,Chain Issue,3
176,2022-09-19,Chain Issue,20
364,2022-10-14,Flat Tire,25
796,2022-03-30,Chain Issue,15
120,2022-02-16,Battery Issue,28
995,2022-04-01,Battery Issue,18
758,2022-05-04,Brake Issue,6
791,2022-07-11,Chain Issue,36
664,2022-02-25,Flat Tire,42
818,2022-06-26,Battery Issue,32
599,2022-02-28,Brake Issue,45
361,2022-03-21,Battery Issue,4
90,2022-07-28,Chain Issue,44
411,2022-08-23,Brake Issue,24
13,2022-03-04,Chain Issue,21
412,2022-05-05,Brake Issue,9
612,2022-04-12,Brake Issue,42
553,2022-06-11,Chain Issue,2
48,2022-08-08,Battery Issue,28
890,2022-07-19,Flat Tire,37
263,2022-10-29,Chain Issue,25
240,2022-10-05,Flat Tire,42
60,2022-08-04,Brake Issue,23
663,2022-10-16,Brake Issue,45
293,2022-03-21,Chain Issue,4
974,2022-02-13,Chain Issue,44
647,2022-12-17,Chain Issue,35
323,2022-10-01,Brake Issue,47
735,2022-03-12,Brake Issue,17
915,2022-09-14,Brake Issue,31
187,2022-11-09,Chain Issue,15
277,2022-12-10,Brake Issue,2
224,2022-09-10,Battery Issue,34
996,2022-08-06,Flat Tire,35
962,2022-01-07,Flat Tire,37
12,2022-04-18,Battery Issue,36
18,2022-06-09,Chain Issue,9
584,2022-09-15,Brake Issue,35
628,2022-05-09,Chain Issue,4
666,2022-06-15,Chain Issue,24
951,2022-03-05,Brake Issue,12
94,2022-08-11,Battery Issue,16
633,2022-04-13,Flat Tire,4
686,2022-07-04,Flat Tire,3
790,2022-01-27,Brake Issue,26
261,2022-05-11,Chain Issue,35
925,2022-10-27,Chain Issue,16
879,2022-09-08,Battery Issue,29
225,2022-12-24,Flat Tire,46
41,2022-10-25,Flat Tire,16
638,2022-09-22,Brake Issue,36
842,2022-02-09,Brake Issue,30
530,2022-07-03,Battery Issue,28
411,2022-10-08,Brake Issue,45
238,2022-06-21,Brake Issue,47
290,2022-06-03,Battery Issue,23
142,2022-02-23,Brake Issue,27
244,2022-09-19,Chain Issue,46
584,2022-01-19,Brake Issue,34
118,2022-06-18,Brake Issue,25
573,2022-04-10,Brake Issue,38
913,2022-11-15,Chain Issue,5
557,2022-01-20,Battery Issue,7
220,2022-04-21,Flat Tire,29
795,2022-04-15,Flat Tire,12
734,2022-09-18,Chain Issue,39
578,2022-10-13,Chain Issue,11
5,2022-07-16,Flat Tire,32
185,2022-07-24,Chain Issue,31
537,2022-03-08,Brake Issue,41
583,2022-12-31,Battery Issue,29
569,2022-03-30,Flat Tire,42
756,2022-06-28,Battery Issue,42
421,2022-01-25,Brake Issue,43
458,2022-05-30,Brake Issue,23
724,2022-03-27,Flat Tire,26
878,2022-05-24,Chain Issue,12
361,2022-05-04,Battery Issue,11
598,2022-03-05,Battery Issue,47
72,2022-08-29,Brake Issue,34
725,2022-11-16,Battery Issue,13
993,2022-11-23,Chain Issue,28
891,2022-09-23,Brake Issue,31
69,2022-09-13,Brake Issue,36
27,2022-04-15,Flat Tire,41
665,2022-10-11,Chain Issue,13
561,2022-01-10,Brake Issue,38
820,2022-10-19,Brake Issue,3
475,2022-09-12,Brake Issue,35
23,2022-04-17,Battery Issue,38
520,2022-11-23,Chain Issue,34
413,2022-03-13,Brake Issue,21
217,2022-09-22,Flat Tire,22
970,2022-03-06,Chain Issue,5
189,2022-01-19,Battery Issue,2
907,2022-10-23,Flat Tire,20
820,2022-05-04,Flat Tire,3
54,2022-04-03,Chain Issue,11
957,2022-06-26,Flat Tire,46
267,2022-04-20,Battery Issue,3
132,2022-04-08,Chain Issue,42
529,2022-07-26,Chain Issue,28
754,2022-09-13,Chain Issue,32
671,2022-12-01,Battery Issue,47
517,2022-10-11,Brake Issue,1
734,2022-10-28,Chain Issue,25
601,2022-08-23,Brake Issue,35
966,2022-06-21,Flat Tire,36
643,2022-06-23,Brake Issue,40
568,2022-08-11,Flat Tire,47
871,2022-03-30,Flat Tire,27
156,2022-07-12,Brake Issue,8
269,2022-02-18,Brake Issue,17
289,2022-05-24,Brake Issue,38
547,2022-10-24,Brake Issue,5
891,2022-07-25,Brake Issue,16
911,2022-10-19,Battery Issue,10
607,2022-11-03,Battery Issue,34
805,2022-03-11,Chain Issue,7
762,2022-06-01,Flat Tire,21
915,2022-09-07,Chain Issue,27
329,2022-06-27,Brake Issue,2
969,2022-01-13,Battery Issue,33
189,2022-10-29,Chain Issue,45
376,2022-09-07,Brake Issue,26
227,2022-01-14,Battery Issue,2
360,2022-06-19,Chain Issue,32
865,2022-02-15,Battery Issue,47
378,2022-08-23,Flat Tire,37
965,2022-02-19,Flat Tire,21
83,2022-06-20,Brake Issue,46
673,2022-05-05,Battery Issue,27
145,2022-02-21,Flat Tire,6
649,2022-02-25,Flat Tire,8
257,2022-03-03,Battery Issue,9
73,2022-11-03,Chain Issue,5
505,2022-10-31,Battery Issue,7
534,2022-07-29,Flat Tire,23
540,2022-09-27,Flat Tire,1
672,2022-07-25,Battery Issue,1
891,2022-11-21,Brake Issue,17
93,2022-10-12,Battery Issue,17
852,2022-12-25,Brake Issue,3
49,2022-11-13,Brake Issue,5
99,2022-02-14,Battery Issue,2
361,2022-02-03,Flat Tire,12
492,2022-08-27,Brake Issue,31
870,2022-12-30,Chain Issue,29
871,2022-10-19,Battery Issue,29
111,2022-05-11,Brake Issue,33
625,2022-11-22,Battery Issue,30
116,2022-06-06,Flat Tire,7
448,2022-08-19,Chain Issue,4
433,2022-07-23,Battery Issue,43
188,2022-05-25,Battery Issue,29
639,2022-06-19,Brake Issue,18
155,2022-06-01,Brake Issue,16
595,2022-12-10,Flat Tire,32
696,2022-08-14,Brake Issue,43
470,2022-06-19,Brake Issue,17
489,2022-06-04,Chain Issue,32
257,2022-05-13,Chain Issue,19
718,2022-05-15,Flat Tire,47
583,2022-04-20,Brake Issue,28
714,2023-01-01,Flat Tire,10
435,2022-11-12,Flat Tire,30
807,2022-12-25,Chain Issue,30
178,2022-01-08,Chain Issue,15
198,2022-06-17,Battery Issue,24
757,2022-10-13,Flat Tire,8
566,2022-08-05,Battery Issue,36
476,2022-07-20,Chain Issue,13
824,2022-10-28,Flat Tire,43
288,2022-04-18,Battery Issue,9
27,2022-03-28,Brake Issue,22
175,2022-10-26,Brake Issue,40
562,2022-06-22,Battery Issue,15
640,2022-01-13,Flat Tire,27
432,2022-12-14,Flat Tire,3
598,2022-09-14,Battery Issue,25
839,2022-08-07,Brake Issue,38
6,2022-08-19,Battery Issue,18
799,2022-06-28,Flat Tire,31
813,2022-11-25,Battery Issue,27
365,2022-07-28,Chain Issue,31
762,2022-06-05,Battery Issue,42
845,2022-04-01,Chain Issue,33
130,2022-02-19,Battery Issue,15
68,2022-06-03,Chain Issue,15
807,2022-08-14,Flat Tire,9
835,2022-11-02,Brake Issue,22
227,2022-04-26,Flat Tire,26
862,2022-04-03,Chain Issue,14
345,2022-06-04,Brake Issue,32
439,2022-08-21,Flat Tire,25
886,2022-12-21,Brake Issue,43
320,2022-06-27,Brake Issue,4
49,2022-11-29,Battery Issue,14
841,2022-07-23,Brake Issue,33
67,2022-09-16,Flat Tire,45
489,2022-10-25,Chain Issue,7
66,2022-08-01,Flat Tire,31
444,2022-03-17,Flat Tire,34
292,2022-02-26,Battery Issue,29
212,2022-03-09,Brake Issue,29
47,2022-12-25,Chain Issue,25
477,2022-08-20,Battery Issue,11
394,2022-06-06,Flat Tire,30
913,2022-05-03,Chain Issue,33
861,2022-03-23,Battery Issue,11
189,2022-07-03,Flat Tire,21
30,2022-07-12,Brake Issue,23
909,2022-12-12,Flat Tire,40
331,2022-05-14,Battery Issue,40
69,2022-02-28,Brake Issue,21
275,2022-03-08,Chain Issue,1
823,2022-03-11,Battery Issue,12
121,2022-07-20,Chain Issue,40
903,2022-09-19,Brake Issue,45
733,2022-09-21,Battery Issue,7
22,2022-07-17,Flat Tire,32
559,2022-02-09,Flat Tire,9
791,2022-05-10,Brake Issue,35
723,2022-07-20,Battery Issue,8
680,2022-10-15,Brake Issue,14
340,2022-01-22,Flat Tire,11
338,2022-05-24,Battery Issue,4
752,2022-07-15,Battery Issue,12
863,2022-01-06,Battery Issue,37
776,2022-02-05,Battery Issue,44
416,2022-11-02,Flat Tire,10
238,2022-10-15,Brake Issue,18
463,2022-09-25,Flat Tire,20
911,2022-03-22,Brake Issue,32
62,2022-11-03,Chain Issue,27
730,2022-01-05,Chain Issue,37
241,2022-04-19,Flat Tire,10
398,2022-11-04,Flat Tire,18
508,2022-05-07,Brake Issue,25
456,2022-07-22,Chain Issue,24
81,2022-08-17,Flat Tire,5
710,2022-12-27,Battery Issue,10
869,2022-05-07,Brake Issue,42
288,2022-01-17,Chain Issue,24
420,2022-01-28,Brake Issue,24
354,2022-05-27,Flat Tire,34
640,2022-05-13,Brake Issue,22
910,2022-04-28,Flat Tire,46
941,2022-12-01,Battery Issue,47
547,2022-12-31,Chain Issue,7
603,2022-03-06,Brake Issue,29
81,2022-02-18,Brake Issue,21
643,2022-09-03,Chain Issue,34
92,2022-08-14,Chain Issue,16
908,2022-08-25,Flat Tire,21
926,2022-01-05,Battery Issue,8
623,2022-07-18,Chain Issue,11
321,2022-07-08,Flat Tire,11
399,2022-04-03,Chain Issue,6
303,2022-05-25,Battery Issue,36
533,2022-05-16,Brake Issue,12
64,2022-07-06,Brake Issue,13
648,2022-04-09,Flat Tire,3
537,2022-10-05,Flat Tire,35
405,2022-03-01,Brake Issue,18
954,2022-07-02,Chain Issue,4
247,2022-04-05,Flat Tire,35
664,2022-07-19,Battery Issue,47
34,2022-07-20,Chain Issue,39
933,2022-03-11,Chain Issue,4
98,2022-07-08,Battery Issue,31
466,2022-05-14,Brake Issue,44
175,2022-06-16,Brake Issue,47
673,2022-11-22,Brake Issue,36
65,2022-03-11,Chain Issue,26
75,2022-01-30,Battery Issue,30
840,2022-10-14,Battery Issue,8
993,2022-07-28,Battery Issue,39
24,2022-05-26,Brake Issue,30
77,2022-09-13,Flat Tire,16
182,2022-07-31,Battery Issue,12
699,2022-09-27,Brake Issue,10
528,2022-05-14,Chain Issue,10
267,2022-12-09,Battery Issue,25
911,2022-09-04,Battery Issue,20
461,2022-09-11,Battery Issue,6
234,2022-10-21,Flat Tire,16
250,2022-07-01,Brake Issue,42
289,2022-09-02,Brake Issue,38
190,2022-03-13,Flat Tire,34
634,2022-05-17,Battery Issue,1
465,2022-05-30,Battery Issue,30
250,2022-08-05,Brake Issue,39
900,2022-05-01,Flat Tire,18
344,2022-12-17,Brake Issue,9
541,2022-01-07,Chain Issue,23
319,2022-09-17,Brake Issue,46
900,2022-07-31,Brake Issue,13
15,2022-04-07,Brake Issue,24
919,2022-02-28,Battery Issue,41
656,2022-02-07,Battery Issue,3
338,2022-02-15,Chain Issue,18
750,2022-11-13,Chain Issue,2
754,2022-11-28,Flat Tire,12
366,2022-05-30,Chain Issue,12
787,2022-09-24,Brake Issue,43
555,2022-03-26,Battery Issue,47
88,2022-09-06,Flat Tire,1
385,2022-12-16,Chain Issue,28
421,2022-05-25,Battery Issue,1
942,2022-04-28,Brake Issue,47
71,2022-11-05,Brake Issue,5
813,2022-08-25,Battery Issue,16
632,2022-09-10,Flat Tire,10
294,2022-12-06,Chain Issue,18
959,2022-06-06,Battery Issue,46
829,2022-10-09,Battery Issue,33
217,2022-03-15,Battery Issue,1
509,2022-01-26,Flat Tire,21
648,2022-02-19,Chain Issue,25
509,2022-02-12,Battery Issue,47
367,2022-03-28,Chain Issue,24
206,2022-08-23,Chain Issue,10
999,2022-03-20,Battery Issue,40
598,2022-02-21,Brake Issue,9
610,2022-07-14,Flat Tire,27
512,2022-08-10,Chain Issue,20
949,2022-06-04,Brake Issue,2
729,2022-10-06,Chain Issue,20
714,2022-10-08,Battery Issue,14
154,2022-07-25,Chain Issue,5
538,2022-02-04,Chain Issue,11
982,2022-01-20,Flat Tire,47
413,2022-12-18,Chain Issue,31
362,2022-05-18,Chain Issue,37
195,2022-06-04,Battery Issue,4
26,2022-07-17,Battery Issue,46
877,2022-02-14,Battery Issue,33
321,2022-03-11,Brake Issue,36
533,2022-07-02,Chain Issue,34
474,2022-12-15,Flat Tire,2
673,2023-01-01,Battery Issue,3
122,2022-05-22,Chain Issue,12
8,2022-04-28,Battery Issue,42
623,2022-06-21,Brake Issue,37
918,2022-08-12,Flat Tire,18
736,2022-12-28,Battery Issue,8
423,2022-03-19,Battery Issue,14
80,2022-07-20,Brake Issue,46
88,2022-01-13,Flat Tire,5
793,2022-04-05,Chain Issue,20
83,2022-11-22,Battery Issue,30
892,2022-05-04,Chain Issue,6
83,2022-07-22,Flat Tire,12
340,2022-01-09,Battery Issue,36
995,2022-12-31,Flat Tire,23
681,2022-10-30,Chain Issue,47
375,2022-02-03,Chain Issue,44
218,2022-02-13,Chain Issue,18
777,2022-02-21,Brake Issue,25
60,2022-07-09,Chain Issue,16
162,2022-02-22,Chain Issue,7
407,2022-06-18,Flat Tire,38
38,2022-05-12,Flat Tire,37
149,2022-07-30,Chain Issue,24
238,2022-10-12,Battery Issue,11
677,2022-12-27,Brake Issue,17
154,2022-12-05,Chain Issue,47
86,2022-09-29,Flat Tire,27
561,2022-07-06,Brake Issue,35
923,2022-07-15,Flat Tire,14
172,2022-08-18,Brake Issue,31
565,2022-10-10,Chain Issue,24
445,2022-09-26,Brake Issue,24
65,2022-01-18,Chain Issue,39
921,2022-01-17,Chain Issue,36
497,2022-06-05,Battery Issue,26
925,2022-05-25,Flat Tire,32
181,2022-04-13,Battery Issue,9
102,2022-04-27,Chain Issue,35
385,2022-10-18,Battery Issue,43
817,2022-02-23,Chain Issue,33
329,2022-07-13,Flat Tire,4
186,2022-01-25,Flat Tire,33
825,2022-06-07,Brake Issue,36
236,2022-04-15,Brake Issue,20
191,2022-09-05,Flat Tire,13
832,2022-01-23,Brake Issue,24
233,2022-01-03,Battery Issue,23
505,2022-04-14,Battery Issue,14
242,2022-04-13,Brake Issue,1
274,2022-05-15,Brake Issue,14
669,2022-09-25,Battery Issue,35
396,2022-10-03,Chain Issue,38
723,2022-02-26,Chain Issue,34
974,2022-09-08,Battery Issue,37
502,2022-06-03,Chain Issue,8
525,2022-05-06,Chain Issue,29
720,2022-03-03,Chain Issue,19
181,2022-11-02,Brake Issue,12
197,2022-01-13,Flat Tire,9
369,2022-02-09,Brake Issue,26
288,2022-04-27,Brake Issue,39
52,2022-07-22,Battery Issue,45
385,2022-11-10,Flat Tire,5
612,2022-12-25,Battery Issue,29
209,2022-08-27,Battery Issue,7
492,2022-02-27,Battery Issue,13
32,2022-04-21,Battery Issue,5
556,2022-05-22,Brake Issue,5
195,2022-06-19,Chain Issue,23
494,2022-11-09,Chain Issue,32
99,2022-10-10,Flat Tire,8
594,2022-03-23,Brake Issue,20
142,2022-07-31,Battery Issue,43
700,2022-05-06,Battery Issue,44
772,2022-08-30,Battery Issue,23
485,2022-12-30,Chain Issue,39
64,2022-06-12,Battery Issue,12
274,2022-01-09,Chain Issue,44
256,2022-11-12,Chain Issue,16
659,2022-01-25,Brake Issue,30
703,2022-02-11,Flat Tire,7
958,2022-03-04,Chain Issue,7
337,2022-05-04,Brake Issue,34
389,2022-08-20,Battery Issue,13
700,2022-07-13,Battery Issue,40
648,2022-03-27,Battery Issue,25
859,2022-11-03,Chain Issue,41
807,2022-03-12,Chain Issue,24
166,2022-11-17,Chain Issue,3
833,2022-07-03,Brake Issue,3
798,2022-11-14,Chain Issue,36
842,2022-02-09,Chain Issue,33
766,2022-05-17,Chain Issue,14
904,2022-09-06,Brake Issue,22
503,2022-05-14,Flat Tire,26
507,2022-01-26,Battery Issue,5
641,2022-03-25,Battery Issue,34
167,2022-12-09,Chain Issue,4
450,2022-11-18,Chain Issue,32
423,2022-04-30,Flat Tire,9
369,2022-04-22,Brake Issue,14
670,2022-03-17,Brake Issue,11
367,2022-09-12,Flat Tire,14
696,2022-06-15,Chain Issue,46
424,2022-08-25,Flat Tire,25
145,2022-04-15,Chain Issue,43
381,2022-09-21,Chain Issue,3
880,2022-09-12,Brake Issue,38
618,2022-08-25,Battery Issue,5
158,2022-06-17,Flat Tire,4
61,2022-07-20,Flat Tire,32
433,2022-10-05,Chain Issue,35
624,2022-07-26,Brake Issue,29
68,2022-12-24,Chain Issue,10
722,2022-08-17,Battery Issue,28
257,2022-09-08,Battery Issue,29
723,2022-01-06,Battery Issue,44
193,2022-10-16,Flat Tire,3
32,2022-05-06,Brake Issue,28
338,2022-12-01,Battery Issue,42
445,2022-10-17,Chain Issue,23
846,2022-08-14,Battery Issue,38
223,2022-10-04,Battery Issue,15
746,2022-02-28,Chain Issue,9
557,2022-01-28,Battery Issue,36
856,2022-01-04,Brake Issue,22
146,2022-10-09,Flat Tire,14
87,2022-06-24,Battery Issue,13
185,2022-06-17,Chain Issue,42
225,2022-11-26,Chain Issue,1
858,2022-03-04,Brake Issue,1
610,2022-12-02,Battery Issue,7
671,2022-04-07,Chain Issue,18
99,2022-09-20,Chain Issue,6
205,2022-08-07,Brake Issue,42
773,2022-12-22,Flat Tire,24
66,2022-04-15,Battery Issue,15
686,2022-04-01,Battery Issue,34
445,2022-10-10,Brake Issue,33
699,2022-05-25,Flat Tire,10
154,2022-08-28,Chain Issue,10
962,2022-03-24,Battery Issue,29
31,2022-10-31,Brake Issue,31
758,2022-12-23,Brake Issue,8
782,2022-12-14,Flat Tire,17
37,2022-05-02,Battery Issue,30
457,2022-03-01,Chain Issue,42
968,2022-05-29,Chain Issue,47
96,2022-08-12,Flat Tire,41
466,2022-05-17,Flat Tire,45
672,2022-09-02,Chain Issue,24
281,2022-07-31,Flat Tire,45
89,2022-03-11,Chain Issue,17
231,2022-01-30,Battery Issue,17
830,2022-01-24,Flat Tire,42
21,2022-07-18,Flat Tire,20
811,2022-10-16,Battery Issue,16
76,2022-11-06,Flat Tire,13
412,2022-03-06,Brake Issue,3
790,2022-11-16,Chain Issue,42
925,2022-09-08,Flat Tire,41
306,2022-10-14,Battery Issue,41
804,2022-04-30,Brake Issue,15
525,2022-01-29,Chain Issue,20
332,2022-07-28,Brake Issue,26
717,2022-08-10,Chain Issue,37
618,2022-10-16,Flat Tire,38
876,2022-10-17,Flat Tire,37
145,2022-08-06,Chain Issue,39
256,2022-01-23,Chain Issue,46
441,2022-03-04,Brake Issue,22
244,2022-03-06,Chain Issue,6
663,2022-11-08,Chain Issue,30
965,2022-12-04,Flat Tire,26
603,2022-04-16,Brake Issue,46
423,2022-09-14,Battery Issue,32
101,2022-08-29,Battery Issue,30
128,2022-06-17,Battery Issue,7
684,2022-06-08,Flat Tire,31
167,2022-01-04,Brake Issue,27
1000,2022-11-21,Battery Issue,2
258,2022-07-28,Chain Issue,44
696,2022-01-18,Flat Tire,44
355,2022-09-14,Brake Issue,34
654,2022-11-21,Chain Issue,42
418,2022-01-15,Flat Tire,3
46,2022-06-21,Brake Issue,38
164,2022-07-17,Chain Issue,32
153,2022-04-17,Chain Issue,21
829,2022-10-29,Chain Issue,7
